,Timestamp,Processing Time,Frame Difference Called,Face Detection Called,Face Recognition Called
0,0.1150963306427002,0.11509561538696289,1,0,0
1,0.17513346672058105,0.030951499938964844,1,0,0
2,0.22978663444519043,0.021996259689331055,1,0,0
3,0.28989458084106445,0.029940366744995117,1,0,0
4,0.3510582447052002,0.03030228614807129,1,0,0
5,0.41208553314208984,0.02748584747314453,1,0,0
6,0.471790075302124,0.027414798736572266,1,0,0
7,0.5296330451965332,0.027748823165893555,1,0,0
8,0.5879907608032227,0.026632070541381836,1,0,0
9,0.6482863426208496,0.02686452865600586,1,0,0
10,0.7132570743560791,0.02961277961730957,1,0,0
11,0.7754278182983398,0.029771804809570312,1,0,0
12,0.8351926803588867,0.026337862014770508,1,0,0
13,0.8994050025939941,0.03037571907043457,1,0,0
14,0.9612488746643066,0.026918888092041016,1,0,0
15,1.01814603805542,0.024145841598510742,1,0,0
16,1.074234962463379,0.02348947525024414,1,0,0
17,1.1357922554016113,0.02334141731262207,1,0,0
18,1.193969488143921,0.02331233024597168,1,0,0
19,1.260392189025879,0.02343010902404785,1,0,0
20,1.3274390697479248,0.023593425750732422,1,0,0
21,1.3898909091949463,0.023938655853271484,1,0,0
22,1.4489820003509521,0.024230003356933594,1,0,0
23,1.5142288208007812,0.023240327835083008,1,0,0
24,1.6131322383880615,0.05438828468322754,1,0,0
25,1.6791801452636719,0.019431352615356445,1,0,0
26,1.74196195602417,0.0192110538482666,1,0,0
27,1.8041067123413086,0.020966768264770508,1,0,0
28,1.8637030124664307,0.02029132843017578,1,0,0
29,1.9318926334381104,0.020978450775146484,1,0,0
30,1.996046543121338,0.020948410034179688,1,0,0
31,2.065080404281616,0.021234512329101562,1,0,0
32,2.13250470161438,0.020833969116210938,1,0,0
33,2.232388496398926,0.05716371536254883,1,0,0
34,2.3047711849212646,0.022000551223754883,1,0,0
35,2.3694241046905518,0.02067708969116211,1,0,0
36,2.4338855743408203,0.020099639892578125,1,0,0
37,2.4939255714416504,0.02454686164855957,1,0,0
38,2.564382791519165,0.022647619247436523,1,0,0
39,2.630863904953003,0.02072286605834961,1,0,0
40,2.7010250091552734,0.022837400436401367,1,0,0
41,2.7701575756073,0.022808551788330078,1,0,0
42,2.8403942584991455,0.02193427085876465,1,0,0
43,2.9140658378601074,0.022543668746948242,1,0,0
44,2.987055778503418,0.02236795425415039,1,0,0
45,3.0610623359680176,0.022888660430908203,1,0,0
46,3.1417648792266846,0.022626399993896484,1,0,0
47,3.213819980621338,0.022333145141601562,1,0,0
48,3.292430877685547,0.025905609130859375,1,0,0
49,3.366253137588501,0.023511886596679688,1,0,0
50,3.4401893615722656,0.022118330001831055,1,0,0
51,3.5158228874206543,0.02282881736755371,1,0,0
52,3.5881736278533936,0.02210378646850586,1,0,0
53,3.6630988121032715,0.022705078125,1,0,0
54,3.7407310009002686,0.022567272186279297,1,0,0
55,3.816879987716675,0.0228574275970459,1,0,0
56,3.8945436477661133,0.025441884994506836,1,0,0
57,3.968193531036377,0.023201704025268555,1,0,0
58,4.043252229690552,0.022582054138183594,1,0,0
59,4.169143915176392,0.07335567474365234,1,0,0
60,4.247313022613525,0.0224153995513916,1,0,0
61,7.303932428359985,3.0033891201019287,1,1,1
62,7.539367198944092,0.18069219589233398,1,1,1
63,7.819406509399414,0.22969865798950195,1,1,1
64,8.064203023910522,0.1875317096710205,1,1,1
65,8.31039834022522,0.1912217140197754,1,1,1
66,8.578975200653076,0.21200275421142578,1,1,1
67,8.840720415115356,0.20383238792419434,1,1,1
68,9.10411787033081,0.20802021026611328,1,1,1
69,9.365550994873047,0.20174002647399902,1,1,1
70,9.624736547470093,0.2007579803466797,1,1,1
71,9.864851236343384,0.18610596656799316,1,1,1
72,10.117436408996582,0.18481111526489258,1,1,1
73,10.351597309112549,0.18219685554504395,1,1,1
74,10.584766387939453,0.18000435829162598,1,1,1
75,10.843298196792603,0.19435667991638184,1,1,1
76,11.079062700271606,0.19691944122314453,1,1,1
77,11.307553052902222,0.1925053596496582,1,1,1
78,11.603171586990356,0.2584400177001953,1,1,1
79,11.834552526473999,0.1899890899658203,1,1,1
80,12.14378809928894,0.27088022232055664,1,1,1
